
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------

10/11/2021 12:44:38 SENDER-2 starts sending data to RECEIVER2
10/11/2021 12:44:38 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:54:40 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:40 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:40 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:54:40 SENDER-1    ||  PACKET 2 SENT TO CHANNEL
10/11/2021 12:54:40 SENDER-2    ||  PACKET 2 SENT TO CHANNEL

10/11/2021 12:54:41 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:42 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:42 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:42 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:42 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:42 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:54:43 SENDER-1    ||  WAITING
10/11/2021 12:54:43 SENDER-2    ||  WAITING
10/11/2021 12:54:43 SENDER-1    ||  PACKET 3 SENT TO CHANNEL
10/11/2021 12:54:43 SENDER-2    ||  COLLISION OCCURED
10/11/2021 12:54:43 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:43 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:44 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:44 SENDER-1    ||  WAITING
10/11/2021 12:54:44 SENDER-2    ||  WAITING
10/11/2021 12:54:44 SENDER-1    ||  WAITING
10/11/2021 12:54:44 SENDER-2    ||  WAITING
10/11/2021 12:54:44 SENDER-1    ||  WAITING
10/11/2021 12:54:45 SENDER-2    ||  PACKET 3 SENT TO CHANNEL
10/11/2021 12:54:45 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:45 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:45 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:54:46 SENDER-2    ||  WAITING
10/11/2021 12:54:46 SENDER-1    ||  PACKET 4 SENT TO CHANNEL
10/11/2021 12:54:46 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:46 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:47 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:47 SENDER-1    ||  PACKET 5 SENT TO CHANNEL
10/11/2021 12:54:47 SENDER-2    ||  COLLISION OCCURED
10/11/2021 12:54:47 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:48 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:48 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:48 SENDER-1    ||  PACKET 6 SENT TO CHANNEL
10/11/2021 12:54:48 SENDER-2    ||  COLLISION OCCURED
10/11/2021 12:54:48 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:49 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:49 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:49 SENDER-1    ||  WAITING
10/11/2021 12:54:49 SENDER-2    ||  PACKET 4 SENT TO CHANNEL
10/11/2021 12:54:49 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:50 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:50 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:54:50 SENDER-2    ||  WAITING
10/11/2021 12:54:50 SENDER-1    ||  PACKET 7 SENT TO CHANNEL
10/11/2021 12:54:51 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:51 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:51 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:52 SENDER-1    ||  PACKET 8 SENT TO CHANNEL
10/11/2021 12:54:52 SENDER-2    ||  WAITING
10/11/2021 12:54:52 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:52 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:52 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:54:53 SENDER-1    ||  WAITING
10/11/2021 12:54:53 SENDER-2    ||  WAITING
10/11/2021 12:54:53 SENDER-1    ||  WAITING
10/11/2021 12:54:53 SENDER-1    ||  WAITING
10/11/2021 12:54:53 SENDER-2    ||  PACKET 5 SENT TO CHANNEL
10/11/2021 12:54:53 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:54 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:54:54 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:54:54 SENDER-2    ||  PACKET 6 SENT TO CHANNEL
10/11/2021 12:54:54 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:54:55 SENDER-1    ||  FOUND CHANNEL BUSY

